VoteKit RankProfile
Candidates
(Meg Forney:0),(Latrisha Vetaw:1),(Devin Hogan:2),(Mike Derus:3),(Russ Henry:4),(Londel French:5),(Jonathan Honerbrink:6),(Charlie Casserly:7),(Bob Sullentrop:8),(writein:9),(overvote:10),(Scott Vreeland:11)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'6'},{'4'},{'8'},&,11.0,&
{'5'},{'2'},{'2'},&,1.0,&
{'4'},{'7'},,&,29.0,&
{'10'},{'5'},{'2'},&,2.0,&
{'1'},{'4'},{'7'},&,30.0,&
{'2'},{'0'},{'3'},&,62.0,&
{'0'},{'8'},{'6'},&,47.0,&
{'9'},{'1'},{'0'},&,2.0,&
{'8'},{'2'},{'1'},&,7.0,&
{'6'},{'2'},{'8'},&,7.0,&
{'3'},{'2'},{'8'},&,44.0,&
{'6'},{'7'},{'1'},&,11.0,&
{'6'},{'7'},,&,18.0,&
{'1'},{'3'},{'7'},&,42.0,&
{'7'},{'0'},{'5'},&,32.0,&
{'4'},{'3'},{'4'},&,3.0,&
{'4'},{'6'},{'7'},&,12.0,&
{'8'},{'0'},{'5'},&,12.0,&
{'0'},{'2'},{'2'},&,4.0,&
{'8'},{'7'},{'2'},&,11.0,&
{'2'},{'7'},{'5'},&,13.0,&
{'6'},{'8'},{'4'},&,24.0,&
{'1'},{'9'},,&,6.0,&
{'7'},{'4'},{'1'},&,19.0,&
{'5'},{'8'},,&,8.0,&
{'7'},{'3'},{'8'},&,54.0,&
{'4'},{'4'},{'1'},&,2.0,&
{'4'},{'4'},{'6'},&,1.0,&
{'8'},{'2'},{'7'},&,10.0,&
